date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-01-13,119.11,119.62,118.81,119.04,26111948,26111948,-0.21,-0.176,119.0625,"Jan 13, 17",0.6508135498731799
2017-01-17,118.34,120.24,118.22,120,34439843,34439843,0.96,0.806,119.7396,"Jan 17, 17",0.6641265623721571
2017-01-18,120,120.5,119.71,119.99,23712961,23712961,-0.01,-0.008,120.0197,"Jan 18, 17",0.663987885158626
2017-01-19,119.4,120.09,119.37,119.78,25597291,25597291,-0.21,-0.175,119.7827,"Jan 19, 17",0.6610756636744748
2017-01-20,120.45,120.45,119.7346,120,32597892,32597892,0.22,0.184,120.0051,"Jan 20, 17",0.6641265623721571
2017-01-23,120,120.81,119.77,120.08,22050218,22050218,0.08,0.067,120.1265,"Jan 23, 17",0.6652359800804051
2017-01-24,119.55,120.1,119.5,119.97,23211038,23211038,-0.11,-0.092,119.9544,"Jan 24, 17",0.6637105307315639
2017-01-25,120.42,122.1,120.28,121.88,32586673,32586673,1.91,1.592,121.4918,"Jan 25, 17",0.6901978785159875
2017-01-26,121.67,122.44,121.6,121.94,26337576,26337576,0.06,0.049,121.9135,"Jan 26, 17",0.6910299417971736
2017-01-27,122.14,122.35,121.6,121.95,20562944,20562944,0.01,0.008,121.9302,"Jan 27, 17",0.6911686190107046
2017-01-30,120.93,121.63,120.66,121.63,30377503,30377503,-0.32,-0.262,121.1807,"Jan 30, 17",0.6867309481777121
2017-01-31,121.15,121.39,120.62,121.35,49200993,49200993,-0.28,-0.23,121.0609,"Jan 31, 17",0.6828479861988437
2017-02-01,127.03,130.49,127.01,128.75,111985040,111985040,7.4,6.098,128.5577,"Feb 1, 17",0.7854691242117935
2017-02-02,127.975,129.39,127.78,128.53,33710411,33710411,-0.22,-0.171,128.4051,"Feb 2, 17",0.7824182255141112
2017-02-03,128.31,129.19,128.16,129.08,24507301,24507301,0.55,0.428,128.7289,"Feb 3, 17",0.7900454722583171
2017-02-06,129.13,130.5,128.9,130.29,26845924,26845924,1.21,0.937,130.084,"Feb 6, 17",0.8068254150955694
2017-02-07,130.54,132.09,130.45,131.53,38183841,38183841,1.24,0.952,131.5126,"Feb 7, 17",0.8240213895734151
2017-02-08,131.35,132.22,131.22,132.04,23004072,23004072,0.51,0.388,131.6688,"Feb 8, 17",0.8310939274634966
2017-02-09,131.65,132.445,131.12,132.42,28349859,28349859,0.38,0.288,131.945,"Feb 9, 17",0.8363636615776752
2017-02-10,132.46,132.94,132.05,132.12,20065458,20065458,-0.3,-0.227,132.356,"Feb 10, 17",0.832203345171745
2017-02-13,133.08,133.82,132.75,133.29,23035421,23035421,1.17,0.886,133.48,"Feb 13, 17",0.8484285791548734
2017-02-14,133.47,135.09,133.25,135.02,33226223,33226223,1.73,1.298,134.3441,"Feb 14, 17",0.8724197370957388
2017-02-15,135.52,136.27,134.62,135.51,35623100,35623100,0.49,0.363,135.4181,"Feb 15, 17",0.8792149205587582
2017-02-16,135.67,135.9,134.8398,135.345,22584555,22584555,-0.165,-0.122,135.2523,"Feb 16, 17",0.8769267465354966
2017-02-17,135.1,135.83,135.1,135.72,22198197,22198197,0.375,0.277,135.4391,"Feb 17, 17",0.8821271420429095
2017-02-21,136.23,136.75,135.98,136.7,24507156,24507156,0.98,0.722,136.4161,"Feb 21, 17",0.8957175089689488
2017-02-22,136.43,137.12,136.11,137.11,20836932,20836932,0.41,0.3,136.6849,"Feb 22, 17",0.9014032747237206
